location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
IT0761A,Milano,IT,2020-10-03T19:00:00Z,2020-10-03T21:00:00+02:00,no2,12.585841,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T18:00:00Z,2020-10-03T20:00:00+02:00,no2,18.655682,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T17:00:00Z,2020-10-03T19:00:00+02:00,no2,4.539411,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T16:00:00Z,2020-10-03T18:00:00+02:00,no2,4.542006,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T15:00:00Z,2020-10-03T17:00:00+02:00,no2,3.989493,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T14:00:00Z,2020-10-03T16:00:00+02:00,no2,4.178852,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T13:00:00Z,2020-10-03T15:00:00+02:00,no2,7.229337,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T12:00:00Z,2020-10-03T14:00:00+02:00,no2,6.562691,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T11:00:00Z,2020-10-03T13:00:00+02:00,no2,10.938684,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T10:00:00Z,2020-10-03T12:00:00+02:00,no2,11.024284,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T09:00:00Z,2020-10-03T11:00:00+02:00,no2,13.968416,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T08:00:00Z,2020-10-03T10:00:00+02:00,no2,13.117601,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T07:00:00Z,2020-10-03T09:00:00+02:00,no2,9.356376,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T06:00:00Z,2020-10-03T08:00:00+02:00,no2,6.873965,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T05:00:00Z,2020-10-03T07:00:00+02:00,no2,4.990758,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T03:00:00Z,2020-10-03T05:00:00+02:00,no2,4.982976,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T02:00:00Z,2020-10-03T04:00:00+02:00,no2,5.104893,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T01:00:00Z,2020-10-03T03:00:00+02:00,no2,6.954378,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-03T00:00:00Z,2020-10-03T02:00:00+02:00,no2,8.580784,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T23:00:00Z,2020-10-03T01:00:00+02:00,no2,9.745468,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
